country,sex,education,ID,age,marital_status,hh_size,child,employment_status,income_loss,insurance_unemp,lost_job,work_hours,hh_resp,child_rep,adult_care,hh_resp3,child_rep3,hh_resp0,child_rep0,adult_care0,partner_support,child_support,dsupport,ssupport,family_support,domestic_support,source_info,use_info,food_access,access_product,access_care,access_water,access_transp,access_soc,ill_death,mental_health,discrimination,violence,cash_relief,inkind_relief,friends_support,ngo_support,num_child,hh_loss,count_adult,adult_care3,lost_dw_support,lost_relative_support,received_info,gov_support_unemp,weights,urban_rural,refugee_camp,employed,safe,reason_safe1,violence_spouse,violence_family,increase_gbv,priority_gbv,head,disability,hh_resp_b,child_rep_b,adult_care_b,nonhh_rep,risk_covid,reason_safe,coping_1,coping_2,coping_3,coping_4,coping_5,coping_6,coping_7,coping_8,coex,safe_community,UserId,employment_status_a,emp_y,emp_y_a,lost_job_hh,food_need,violence_comm,GBV_problem,GBV_change,help_women,region,hh_size_cat,age_cat,age_cat2,education2,edu_age,edu_child,young_child,hh_comp_mar,countryweightf,countryweightm,_merge,weights_sample
Chile,Women,Technical,155,28,Single,5,1,Formal employee,,yes,yes,,yes,yes,yes,yes,yes,yes,No,yes,,,,,yes,No,Internet and social media ,yes,No,yes,No,yes,yes,No,No,yes,No,,No,,No,No,1,No,1,No,,,No,No,0,,,,Yes,,,,,,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,LACRO,4-5,25-29,25-34,Tertiary Education and More,0,0,0,Single Parent,0,0,Matched (3),1
Chile,Women,Tertiary,243,33,,2,0,Formal employee,No,yes,No,No change,No,No,No,No,No,yes,No,No,yes,,,,,,Internet and social media ,yes,No,yes,No,No,No,,No,No,No,,No,,No,yes,0,yes,0,No,,,No,No,0,,,,Yes,,,,,,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,,,,,LACRO,2-3,30-34,25-34,Tertiary Education and More,0,0,0,,0,0,Matched (3),1
Chile,Women,Secondary,866,22,Single,3,1,Formal employee,yes,yes,No,Decreased,yes,yes,yes,No,yes,No,No,yes,yes,,,,,No,Public service announcement/speaker,yes,yes,yes,yes,yes,,yes,yes,yes,No,,No,,No,yes,1,No,1,No,,yes,No,No,0,,,,Yes,,,,,,yes,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,LACRO,2-3,18-24,18-24,Secondary Education or Less,1,1,1,Single Parent,0,0,Matched (3),1
Chile,Women,Secondary,261,35,Single,4,1,Formal employee,,yes,yes,,yes,yes,yes,No,No,No,No,yes,,yes,,,No,No,Internet and social media ,No,No,yes,yes,yes,yes,No,No,No,No,,yes,,No,yes,30,No,1,No,,yes,No,yes,0,,,,Yes,,,,,,yes,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,LACRO,4-5,35-39,35-44,Secondary Education or Less,0,1,0,Single Parent,0,0,Matched (3),1
Chile,Women,Secondary,640,52,,2,1,Formal employee,No,yes,No,No change,No,No,,No,No,No,No,yes,No,No,,,No,No,Internet and social media ,No,yes,yes,yes,No,,yes,yes,yes,No,,No,,No,yes,1,No,0,,,yes,No,No,0,,,,No,,,,,,yes,No,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,LACRO,2-3,50-54,45-59,Secondary Education or Less,0,1,0,,0,0,Matched (3),1
Chile,Women,Tertiary,1039,38,Living with partner/Cohabiting,3,1,Own Account Worker,yes,yes,No,Decreased,yes,yes,yes,yes,yes,yes,No,yes,No,,,,No,No,Internet and social media ,yes,No,No,No,No,No,No,yes,yes,No,,No,,No,yes,1,yes,1,No,,yes,No,No,0,,,,Yes,,,,,,No,No,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,LACRO,2-3,35-39,35-44,Tertiary Education and More,0,0,0,Partnered with children,0,0,Matched (3),1
Chile,Women,Technical,1230,62,Living with partner/Cohabiting,5,0,Formal employee,No,yes,No,Decreased,No,,No,No,,No,yes,yes,No,No,,,yes,No,Public service announcement/speaker,yes,No,No,No,No,No,No,No,yes,No,,No,,No,yes,0,yes,0,No,,yes,No,No,0,,,,Yes,,,,,,No,No,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,LACRO,4-5,>=60,>60,Tertiary Education and More,0,0,0,Partnered without children,0,0,Matched (3),1
Chile,Women,Secondary,970,30,Single,3,1,Not employed,,yes,,,yes,yes,,No,yes,yes,yes,yes,,,,,No,No,Internet and social media ,No,yes,yes,yes,No,yes,yes,No,yes,No,,No,,No,yes,2,No,0,,,yes,No,No,0,,,,Yes,,,,,,yes,No,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,LACRO,2-3,30-34,25-34,Secondary Education or Less,0,1,0,Single Parent,0,0,Matched (3),1
Chile,Women,Secondary,381,31,,4,1,Other,,yes,,,yes,yes,yes,yes,yes,yes,No,No,yes,No,,,No,No,Internet and social media ,yes,No,yes,yes,No,No,No,yes,yes,No,,yes,,No,yes,3,No,3,yes,,,No,yes,0,,,,Yes,,,,,,No,No,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,LACRO,4-5,30-34,25-34,Secondary Education or Less,0,1,0,,0,0,Matched (3),1
Chile,Women,Tertiary,554,33,Single,3,1,Own Account Worker,No,yes,No,Increased,yes,yes,No,yes,yes,yes,No,yes,,,,,No,No,Radio/Television/Newspaper,No,No,No,No,No,No,,No,yes,No,,yes,,No,yes,1,No,0,No,,,No,yes,0,,,,Yes,,,,,,No,No,No,Yes,No,yes,,,,,,,,,,,,,,,,,,,,,,,LACRO,2-3,30-34,25-34,Tertiary Education and More,0,0,0,Single Parent,0,0,Matched (3),1
